KEXP's Song of the Day 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
71,Turning Teeth,1jUbItngG5Tn1swiTd8cHt,Jesus & The Brides of Dracula,6l8uY2tur2AFUMCU5Xafih,Under the Silver Lake (Original Motion Picture Soundtrack),1SfAz6X8QSQPJXWKKf1Ahi,22,https://p.scdn.co/mp3-preview/81b675fa15660cfa1d0a0a42cbfcf516936355a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Capacity,5ex760hiyHxXM5eMTtY731,Charly Bliss,7axA2bNeZsae6t2mgxoSFh,Capacity,5neC8oJ7SYdUFhYD9CN1cF,17,https://p.scdn.co/mp3-preview/b74e8d5754924ded04930978e3cd42628e1e6cf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Beware the Heartless,2nJYGKurQO9ORHbFpzHCph,Oceanwires,0ixNZIb527MH4cO92ESotG,There Never Was a Was,2O792LEMpTudTQKL6OgbrO,10,https://p.scdn.co/mp3-preview/506dcb1a87df3adf9432145f0bea957ecf01b961?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,ZORA,3wnwFm1qASQgFIYAVCcfkR,Jamila Woods,4UodukR17NIQfNu5uaqm9B,ZORA,7k9o0Bf1N877kxjXb6WMQb,36,https://p.scdn.co/mp3-preview/32db1306857db26e342d4256abb819c5bdc58193?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,stephen,3AwtFDVJ7ZGWxHbQJmk9sN,Lowly,721bfjbiX9Koqt2rO8PWOY,Hifalutin,69DzhCnIDQHngop7wlRRoL,28,https://p.scdn.co/mp3-preview/cacf83c525d88f3037cfaae05ed1790ed163b6b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,(I Blame) Society,2yMhLBzcF2FI5la4zHq6Ar,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,(I Blame) Society,5OfCP1KlLwiIzON3c0Jxv4,28,https://p.scdn.co/mp3-preview/d71c1056cc12a65c941ec401f063d19e873696bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,The Dark Side of the Sun,1jcKz32Gme5pyCVZnWoL2v,Sol Oosel,4IklNJDKVWrrNjORykRApm,Janus,574323I5Rtqr2uAbfh3t0k,32,https://p.scdn.co/mp3-preview/cedbe23a1818cf8c28da2adf6c68672c8ff94230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Satellites,5WbOOWX2GK8l1cJulTjMlv,New Age Healers,6HeyvgdEcmJW0dzoPJvtnC,Satellites,2pQEQFwCWiPFYghF5xKGs9,11,https://p.scdn.co/mp3-preview/9d4823227940aef712a800ba89feb69164ecaf6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Father Mountain,1whixU26CVa4jqzES8hDst,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Father Mountain,4UpFlmmv7tnZ9qXhWpS82s,35,https://p.scdn.co/mp3-preview/34ea484d360bbc8dadf03813486a31ac8c51ce69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Method Man,7aGSxvbuOcfmPdkQSIbkU0,Stef Chura,1mZ4u1cMEPjsu6uEa6OxCq,Method Man,7GQVfhChgODw1cppT8dvOa,0,not available
81,You're Not Always On My Mind,4BIWeSOZGC1BAFahuBUOBY,Quivers,0YUqHKQEwFgGaDVSaHTS55,You're Not Always On My Mind,5tWmCU4WGenRH4Po3J6wfi,35,https://p.scdn.co/mp3-preview/1bd69585560650dfcac709e67dfe2f6b35c39e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Choose Yourself,5KP7YwndYHeBqU3bdNszHa,Star Slinger,4GyYa2wB1SohURhDwDCCnQ,Choose Yourself,0kl6e9NSVg0iOsXhlSjOlh,37,https://p.scdn.co/mp3-preview/59e68d45b28c9e257304b2c5c789a1a43d1ca35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Better Days,2sfGs2aXCtWagxWGeR8lIE,OCnotes,6RY4qClirCjUqyzaXYA50U,Better Days,7rjNnAwyD2ArOUgYMOkeFL,13,https://p.scdn.co/mp3-preview/c9dba9957a40f444908f9e0a1a38e80e483e415a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Grease Monkey,0W7555EiwIl7jaSftUBJb8,Uranium Club,0EfPKjhywHpqUo1jIQNiVI,The Cosmo Cleaners,2VW9ZB8kwVYUU0Ok3dpl6Y,30,https://p.scdn.co/mp3-preview/d4f01c6920431f4b9beb68dd5a912f7a39ea8cc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Lucky,4xavJVuuak5VU6gEaksU58,Dead Bars,62LgTiq1iNnwvxvlmgnp78,Regulars,2ooW6xB4ZQubbmgwBkC8Yi,18,https://p.scdn.co/mp3-preview/732b5ab2d5b6dde381bf87febd6a004d1a6da01d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Süpürgesi Yoncadan,1seGm3saXyST058oeZLZWF,Altin Gün,37PL04N8kBWWW69jdrMMWT,Gece,4IUeKh2mYOX2njthGA8STM,41,https://p.scdn.co/mp3-preview/9a0c47093218986a0d35090eea15822a01cf68d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,KRK (At Home In Strange Places),3FwFEKcd5fbuNKV4DXmiNS,Vanishing Twin,4idG41ELGGRKuiHLc3VLc5,KRK (At Home In Strange Places),7ykLCYsHzjuLs9MSWikH5I,14,https://p.scdn.co/mp3-preview/ad0cc4cac08610753ba44215bed8e4af8b63bf28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Outside,7Cx3kiPstZOSKAqTe3LtEi,MorMor,63vaeIIBKIe9zT91EORVbr,Outside,7Dedy1SsrEQ2ofQUw7eGNC,55,https://p.scdn.co/mp3-preview/1284f617cdff253a199eb2273dc1e023fb20c452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Frank,09PQiefxkduQeaNUknZj8S,Just Mustard,0wXaC3fHGVXbhwn5iLZMMi,Frank,58K4QL3ZAeTsySTZ7oP3lJ,35,not available
