KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
75,"Please, Let's Go Away",7CtXWl2NkELexs5bN2QWoJ,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,3xQFwNuMk5QpsdgPhPA29n,1,not available
76,Restart,3v1iInCBrrCqjoHLQVEvDf,BNQT,23765Kf1fzXCewoJqDaX2G,Restart,0tdFK73okMVgXXQ8MtrvUV,0,not available
77,Anymore,5QUEfVhkdt6uCQscyf1EhS,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Silver Eye,68fZGYpsaQuUTfRIyrGJRT,33,https://p.scdn.co/mp3-preview/831d9fbe71b6f1c109322016a2024edbbc4c0e14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Percolator,5bYtYaDbcVPOeEKL4Csy5A,Charly Bliss,7axA2bNeZsae6t2mgxoSFh,Guppy,6UwpRX1CexwA0efyNrtVoY,30,not available
79,Turn Around,0hmEQMNRgCEC6SmvJL5cXg,LAKE,1KvWSkU2qrxVTpkMgdMqqF,Forever or Never,656nQJ4sakqy25rYz5AuID,0,not available
80,Silver,1mS3MN6lTyKX2OxdO6zQvF,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Silver,5NtZ7ujxVzGiJYq8Qp33YY,20,https://p.scdn.co/mp3-preview/a8efec676ed696e0907925e70530fa50460fba26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Witness,1LdPEMcaQ2YV3qS53CbOVN,Benjamin Booker,7mZgBMpvaBziYQfc9TbJH5,Witness,4NsKtW8IVJObN5mBIWK4y1,0,not available
82,Give Me an Answer,1GGCu3X1KsJsGI6LadBe9R,Low Roar,5WoWlP0ihSFIxnppxjwSgE,"Once In a Long, Long While...",7f7U2QDkW5bjMoqCMfx0EA,32,https://p.scdn.co/mp3-preview/e3398b8f779d4f96cd6a975a937c003a3ec5434b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Total Entertainment Forever,10tS3AWz8aUWArbnxIrUL6,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Pure Comedy,3CoFoDt6zt5EKxmTpOX32b,47,https://p.scdn.co/mp3-preview/622ab1df17bdd0e37c5af4a5715af8cc04171eb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Sand,2Aou7fNX67omfDQjwAKPIp,Giungla,2hXIoMXYA65EDbqyLMzr5r,Sand,4ujQSwvFBojxhpK4wetxRf,15,https://p.scdn.co/mp3-preview/0c0401596e250bed43a6fcb400b5850bae770a7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,There Used to Be a Darkness,15gEniREhaTjW7LQdLn6jN,Mikko Joensuu,6trUID4p69Kwk7x4GNSCZz,Amen 2,13aYwF74Coq9plh2Fvttcn,0,not available
86,Žal,3GMdINqF6aBxQIrG0SSqyh,Žen,1QOHsrakssoX9XPURGChWu,Jantar,7tQpcdXr6mb3xjAeivBc0G,3,https://p.scdn.co/mp3-preview/282d0d9b4a7e5886e84016dfc9f753137c6c460c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
