Heat Check 🔥,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
73,Pa Pale,4NJEVgft9GpqI4CkB1AoH1,Michael Brun,1HcAkAeL4xf02wzAnl7mIV,Lokal,2tJF2pIy9E28Jv8tfYAkWn,59,https://p.scdn.co/mp3-preview/ce1478a54796ff3ece01ded7d3a79f7831144260?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,For Colored Boys,27AAmANpk1RaMArcEuEoMt,Kota the Friend,2AfU5LYBVCiCtuCCfM7uVX,FOTO,6RBVbvHUbdAnUWm4GjyY7A,48,https://p.scdn.co/mp3-preview/eab289e88b70f1f51393e408e85242bcf1e368d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Sold Out,02YASn6DereaQMrOFIBUVu,Baby Rose,6Z4JcgqrqgysyHIPRtDIHo,Sold Out,3brPjvQz2oWQuujbF1WbtI,34,https://p.scdn.co/mp3-preview/7c0f11058b70f0365436045d7d2ddf53ca346fdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,0122,1OJuw9y3AVvdjp5J1MTCOE,Black Grapefruit,13CHp8uQ13fYrZ4dOecqIG,0122,2uHKuklroTXY9yFGYt4Dur,38,https://p.scdn.co/mp3-preview/acb73c83f9e35cb5452613bfa56e417b22acd5fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Ornament - Felt Piano,7o9efGIb1nVzBZlTrkWNoP,Kiah Victoria,2JqGe5yK5vhJSJb0wPa7J9,Ornament (Felt Piano),4KQ6JHz61tDSRJpISRImr0,34,https://p.scdn.co/mp3-preview/9ff225a96b72f9bf1ad75a923b95d99127498d6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Girls Need Love,644rGY6maSElnKVsAg1gJj,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Last Day Of Summer,4hTM8jZ8DCCqglmZUDMSPz,74,not available
79,Petal,12Aq4Ryc1rZQ0hWnT8wZNe,Raveena,2kQnsbKnIiMahOetwlfcaS,Lucid,5zM1YPLVNvxe6S8I3MIAbg,43,https://p.scdn.co/mp3-preview/d85a35e1059fc97a39808405ee6af2b57be07ea3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Wildin',4LGg2NY9eHp0jF3L1WbCNl,Berhana,0WjtdWS6su0f3jrW9aqEHl,Wildin',7kSFfhqYkwCiBYzYm8o61i,61,not available
81,NOLA,39vikHaG8113vnW53ZSYWs,Asiahn,1mKtlPrXjWK6oIdk9cSOjs,Love Train 2,4WggHiQe90qGYWlcNlUa5P,49,not available
82,Home (feat. Zoe & Y. Machelle),5YLDtduiNMSWdHpbeZr5qv,bLAck pARty,4C9Tvlt8v7d8R6h98FgdUy,Home (feat. Zoe & Y. Machelle),6niiJth1b5Qpjthe2ii27j,43,https://p.scdn.co/mp3-preview/855921300459b2a6ed598b84d1087ada9b7994d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,BMO,7Ffgp7DIow5wECYQyzEiTq,Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,Shea Butter Baby,3hejjJbFsinMBc1KBqF71w,71,not available
84,Beef FloMix,4J2NxCNqehE0MiZhbu97Jx,Flo Milli,08PvCOlef4xdOr20jFSTPd,Beef FloMix,6OiUzdH9SVtVuDIthx1wcI,72,https://p.scdn.co/mp3-preview/d84992daf75912b804b3a8dee88713984e334714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Juicy,4cTm3Ev9bUvy4ChJjB1nhl,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Amala (Deluxe Version),3wOMqxNHgkga91RBC7BaZU,78,https://p.scdn.co/mp3-preview/03562c0a486457356d89519b59a0a31746635d73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,85,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Perfect (feat. City Girls),1M5j2kkogO78mEsROrTQak,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,Perfect (feat. City Girls),2QmHoXLdhWq19UdThXQwiq,60,https://p.scdn.co/mp3-preview/9c3c56a8e956f4b56e6ae31e714a124e7d3fc302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Wild Girl (feat. Bbymutha),4Cd5UBGycd2PpmbZnC0CM0,Yung Baby Tate,3IJ21966TwNZI24MwZHMu4,GIRLS Deluxe,1Qj0GLSG3jwLnwDP36nDkZ,28,https://p.scdn.co/mp3-preview/051a2da4e55d67a15d4fde4e639df43a01445610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Ready Set (feat. Big Sean),5wlwbEGB1y9nov8qj3yfkZ,Kash Doll,3u579Gdap91lMptBSdXTpf,Ready Set,343SSLPC1MpxYdNSZtczuA,53,not available
90,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),1ypNy6o0C2ZbuuPPYkavVl,65,not available
91,Huku,09zl1Tb8QaW64mMAo3dZOU,Sho Madjozi,08V2vgJBY6VLoUPWlznRKo,Limpopo Champions League,7o3lhq3Md6qkEzfU1SVGtu,45,https://p.scdn.co/mp3-preview/88659ee9da6035164ec4a019ced068768e731a65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Smoke Break II,7IskLV6QCBnPpjOz32jWWW,bLAck pARty,4C9Tvlt8v7d8R6h98FgdUy,Endless Summer,1i1hnI5ABCJE0CbbLsuIL1,37,https://p.scdn.co/mp3-preview/8d9771683239e455dad186eb64c1d50a747c6f0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
