Alternating Currents,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Strange,26b3jonRe7liPsNAnzxVOX,LP,0J7U24vlOOIeMpuaO6Q85A,Lost on You,0dYi4VGov4Dl4AED2eVwPw,53,https://p.scdn.co/mp3-preview/50d419af31b6b4ebd684906d4dc691c2cbac8367?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,"Here, Right Now",7mhGm8vI8hZnlY2iiMMHl9,Joshua Radin,7omzannyG2lfDqP5xyZo34,"Here, Right Now",69G8gjChnttXzf6oHy6nfP,39,https://p.scdn.co/mp3-preview/cd84b76179b69fca83df86930bb596ee0f3c7701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Young Rulers,2x99nWLDbKFZb6n2wICqXU,ARLO,0p5H44Hufi4BrG8PyaH7rK,Everybody's Worried About The Boy,41UYL6DM6awWVtLN7O7ywH,32,https://p.scdn.co/mp3-preview/8d2a382f51875785881980a4a9592b29971b3610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,The Bones (with Hozier),6HzebUNgGlzC1AMBwHGIkH,72,https://p.scdn.co/mp3-preview/e05874f657064f79368d2db7459c5a0ea8740b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,One Little Lie,4y8NnGih7SRWSf7kDMeEqK,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Everything Opposite,4W9hKpdYHa0hcuGh57btOW,41,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,51,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,The Difference,6BqL7juuyjALSznRcciBWo,Devin Dawson,2ySHS7UojGu20XfUPaBlyu,The Difference,1ru8t9ATVTihit2rkuUDWV,43,https://p.scdn.co/mp3-preview/fc18833421d1110816db24d9d6e028f588f61e9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Bottle of Pills,4jfLuPdSrnXNmO7dJuKzmS,John The Blind,12U3blX0ilxf0tnejqPDYD,Bottle of Pills,456S9zdBNYA2o06IcQM6UW,42,https://p.scdn.co/mp3-preview/b51d112f3218ac69a95f61a8d3c769f8a2301613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Dodging Raindrops,0YbEtdFxLEzdX86KOlfPlW,311,41Q0HrwWBtuUkJc7C1Rp6K,Voyager,1OB4dJvhPDVtpEsGbUOZHJ,46,https://p.scdn.co/mp3-preview/3b456fe09f4c44de28770328c75bae7b5ae2333b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Problems,75ylrnob5O80WTKi9ugZ1Z,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,ASYLUM,1qnAzDoa24ZYCZDzmP74sL,66,https://p.scdn.co/mp3-preview/b54e8d9c4b1762d2cca4dedf95b0aa5fdfe58122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,the end,5j7BSPFNuDiiszA2SZllTc,MisterWives,5ivCbtrcD5N4rD337xIb2z,whywhywhy…the end,3pATkUpixuB83NrGhnKVRg,53,https://p.scdn.co/mp3-preview/7bb81377e7b1b05201200a3ab6bb82ae6269fed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,TALK DEEP,6RMvf7OCYYSw4x2K8UakDt,E^ST,7ASucWaI33cepJbo74Hlo0,TALK DEEP,6QSypClxqJS7M5fhLSbuK7,45,https://p.scdn.co/mp3-preview/ba5f78511fefb247a0f921495adf9bb3647c55d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
