100 Uplifting Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
68,Love Shack - Edit,64B4UbGRLtGRBtiN2m8OvF,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Love Shack [edit] / Channel Z [Digital 45],4ugIloQYMfDhN7lOtEWezy,62,https://p.scdn.co/mp3-preview/f5129c929d3bb96c1436573044d14089f9a136b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,The Power Of Love,2olVm1lHicpveMAo4AUDRB,Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,Greatest Hits: Huey Lewis And The News,0u34k1ANjgZ47uQfG9yaLj,74,not available
70,Good Times,0G3fbPbE1vGeABDEZF0jeG,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Risqué,1UFBJkKiBe3Lzjr307UhuU,65,https://p.scdn.co/mp3-preview/6e13f6305e059e7cd762d5cfa8b83787a059d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Be the One,1vTntttEXlVHk4uj1vtVEe,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),4btGe14gIJmTxbcPAQBtqb,51,https://p.scdn.co/mp3-preview/1eb421afdfa6d7eec592423070f2f6c1e3dfe466?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,LDN,5wD6de7Fz1QfxVNkv1SEy7,Lily Allen,13saZpZnCDWOI9D4IJhp1f,"Alright, Still (Deluxe)",5ySBiY0v4b03yw98oRDKtS,62,https://p.scdn.co/mp3-preview/e83fc9697a67d08f0aaf52a0dcfa4807a6411f52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Thinking of You,7mimnm2QlSzW3J38FRMETP,Sister Sledge,6gkWznnJkdkwRPVcmnrays,We Are Family [Expanded],4GSidaoqyGNwaG5mNKmuLT,60,https://p.scdn.co/mp3-preview/6b878c0e2cdcd7991ce50628f59e7c31135c7d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,a-ha,2jzc5TC5TVFLXQlBNiIUzE,Hunting High And Low,1ER3B6zev5JEAaqhnyyfbf,84,https://p.scdn.co/mp3-preview/0f980d0fac59f77123d0272b78bce97f1374d9e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1FvdZ1oizXwF9bxogujoF0,77,https://p.scdn.co/mp3-preview/7a91e696b3f362ff96b3c9dfc3c6d4a34127459b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Demon Days,0bUTHlWbkSQysoM3VsWldT,81,https://p.scdn.co/mp3-preview/7388c425022ced92b1caa7f73bcf0cb3080aee47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Ain't Nobody,53Za5vyGc1x7GxgJVRjRKc,Rufus,3MCjwjfIor5FkK3h639qkW,Stompin' At The Savoy,3j0kxKahatiR5d0sPPtTjP,62,https://p.scdn.co/mp3-preview/a947ed0964b7570d66ba6a22d66483c87dc50f31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,All Star,7ntXYU4zboGuq5ZunkrXRB,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,Astro Lounge,183GEdjm0dJezlc8CeBLYu,18,not available
79,Skinny Genes,3aVJEc05JRNwQfplPO22s0,Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1,Skinny Genes,7iJ9mtIrimyI7PVfAWmuRO,33,https://p.scdn.co/mp3-preview/6b13bb5e5328eac2b1719fdfe3ed79ef622993ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Young Hearts Run Free,3MFa9idQuY4iJLWsZl3tIQ,Candi Staton,3S34Unhn5yRcaH5K9aU5Et,Young Hearts Run Free (US Internet Release),39ntuIhbcC8rsmRV2qXkmZ,65,https://p.scdn.co/mp3-preview/b0b96bb7e0e4f151ce0c64349e74cfc11cba326b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Sussudio - 2016 Remaster,3YTJxdgzKF1EBfwwykSnXJ,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,The Singles (Expanded),7yZHLfxqiGPbSQLrVJljah,46,https://p.scdn.co/mp3-preview/34c4bcdefc759da084e51cd7df543b8c37f77f71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Dancing On The Ceiling,0snPJPxkk0MbTc0xeUvAPt,Lionel Richie,3gMaNLQm7D9MornNILzdSl,Dancing On The Ceiling,5IvqScO5vIXQ2zrxtpCVHf,66,not available
83,Soul Man,4eGHlplaq1ME8oetnTuFFf,Sam & Dave,2BVYdY4PyfCF9z4NrkhEB2,Soul Men,1DThdjKvkvxYaqlDUnQGzK,66,https://p.scdn.co/mp3-preview/2afe192d65a0878c54bcddcbda619e939ef570af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
