Merge Records New Releases,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Ngapara,1qqZXbUqYAiIt7RIYLkMVg,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Bobbie's a girl,4TTDkeqHuAcVIahy6R7uuY,22,https://p.scdn.co/mp3-preview/82380f8f114dac5783daf461617ff7ed3a02cb41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,I Don't Mind,7EvVuEoCFDMIEPl2GNnEeb,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,I Don't Mind,3pFSwaCRfc7mdyufFDbtJZ,37,https://p.scdn.co/mp3-preview/31b15a1e16ef5564967f4c0378b15dbbd631e39a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,True Love Runs Away - Outtake,4TdRb7Kf4Ro8HqsPou51l9,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Blueprints,1sRwHvA5mowW9NSFQTBA2P,8,https://p.scdn.co/mp3-preview/b41da678e81da21d5a8444a1f546f3de67a6bf78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Chosen One - Outtake,3qCdId1vMBejX1VNDBp7fR,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Blueprints,1sRwHvA5mowW9NSFQTBA2P,6,https://p.scdn.co/mp3-preview/c9700f3a3cc9b7655410842029caaa8b6a8c8b67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,It's Real,0urBwO85UkPIyR6bIpwr6b,Ex Hex,2LdMozrLZExZ27oOAnUgkb,It's Real / What Kind of Monster Are You?,4bEWQOjJ4NgkKKWN2fNTUb,32,https://p.scdn.co/mp3-preview/2b2f791f44f2b021d8f0494a6dd8483442ed1387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dance in the Sunshine,5qNAe1Afn0ulTpYDVnv08D,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Dance in the Sunshine / Dub in the Sunshine,7pRhbj49a2g6fTs1HezvJg,37,https://p.scdn.co/mp3-preview/6272cd1d3cb634749aeef1c9d9093dab6ff7344c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Shelter,7ezeEj1L8oHT5siGAuix7c,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,Shelter,2HCC3bdm5N9D5SowpkuphJ,41,https://p.scdn.co/mp3-preview/cb31d5c8d9e160d7d6dfb546b973e3620395e0a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Looks like I’m running out,0nFLtTJHoLP1IBbT68cfKg,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Looks like I’m running out,70UgsOVwTv0BZFEbi3Keif,22,https://p.scdn.co/mp3-preview/33f0be6285818e6aeced4db6b2ddaabcc90baefa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Go Your Own Way,66QF7RlHbAO8ixQkLdc55h,William Tyler,3iexGtoBAyCUbxOKeru5py,Aquarium Drunkard's Lagniappe Session,2F28j2sYsCuQhZUf6in3os,30,https://p.scdn.co/mp3-preview/ee5204a83b844869a1770afea883b11b9fbed351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sarabande,3EkpymdxoW9B8vy7pHsJks,William Tyler,3iexGtoBAyCUbxOKeru5py,Aquarium Drunkard's Lagniappe Session,2F28j2sYsCuQhZUf6in3os,29,https://p.scdn.co/mp3-preview/c3193c22abd0a889d5e9ed3829b30f0f48c6c1ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
