THE EVERYTHING BURGER,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Brains Of Rats,008oZBu5AqNki6phkwCTH5,Magic Jake and the Power Crystals,5SKTNwK87vBYNAtAdZFCb0,Magic Jake and the Power Crystals,5It4CjfMctNV3rjOtP8Qbv,4,not available
33,Power to the People,4UIv210AoPpfrnarXy8Yul,Massenger,0SsIyyCdH6V2CLzeiyA44H,Massenger,31arBR4syUt4GYgPrg2h2K,9,https://p.scdn.co/mp3-preview/7db1a5d2ebd5700b1095e6b68497faaaeb966db5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Meet The Golden Ones,38LBKblIxwsdEDviO6Lz8Y,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,Meet the Golden Ones,5z56UlZWotgFnRH7jdMpRf,4,https://p.scdn.co/mp3-preview/9f92de32b069b31f6609d6580c3a7123664f99cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,I Don't Care,62D3PM996JpOO4TtFMtFHu,Merlin's Magic Music Box,20phLTUWZkcBefNT78wzVZ,Merlin's Magic Music Box,5Yo5QNQs9Ow4sW1HmVOnBF,0,not available
36,Eye Know You,1QF4K4nLwtIsa38sfrPrhp,Seth Pettersen,3KZ9mFfZobwNmnrg16k5vp,Natural Machine,5rlWnzKOmy0SC82lEcqpZK,3,https://p.scdn.co/mp3-preview/03077731a928c9094549375447c60e2521788fef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,He Never Hit Me,3ZfDH2wH0YIlehNXwthbFW,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,New Psychic Denim,0RCodSsdmonR6PW4cudJWj,2,https://p.scdn.co/mp3-preview/e9c733506c61f001594eea28819ac63c6c558239?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Alexandra,4oTO4wA2AuRhT1qDM1EJsX,Thee Goochi Boiz,6Ix1ojMK7qDXe6rpHNddlm,Oops,0rEidUJRDVAfUX5wQYV0ne,1,https://p.scdn.co/mp3-preview/afa7cbf8dd867152393b69a9fb210f37ef31ef36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Dreamphone,4lCwgdxmXCXDNve2XrIWnE,Peach Kelli Pop,5xrA0STCpXYDPnfiyU8A3t,Peach Kelli Pop,6lbxVoJLOUnuHw2fRoD1wF,32,https://p.scdn.co/mp3-preview/52754e4b3de35d81ea7af6cefa2f1b181ee81add?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Abracadaver,6YLAyV21ooRNNHvgad5Ay4,BRANES,1DLO8ypn2riMrK9cimHwT7,Perfection Condition,43Ebeb4NqbQbeJSl4thkDN,2,https://p.scdn.co/mp3-preview/94bda02a347383cd449b1d06022de28597c186a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Paradise,4PcFXj3vufC1bB6uL15sTZ,Pipsqueak,6nmHf9r6CIM990i41UpA7y,Pipsqueak,1IzmhFlqbCx0jl8U4P9Zb2,0,not available
42,Slurp Mee,3BJSE2JZZYt5tMzPaPnYSB,Pookie and the Poodlez,7tCxGQO578hjhbz1WhsEDM,Pookie and the Poodlez,6vkPcC8ySuRR8DDdDdCnbC,7,https://p.scdn.co/mp3-preview/5a123c6c54ffffb19862b945936413b97149ef6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Mode,3jUgPti2VoKFZGeQnsl6KV,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Power Drowning,2Xti3sMoTMfigEppxpdYZz,11,https://p.scdn.co/mp3-preview/a0ce66ce87ed727d2bb55f41647823a0f6baf9d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Oh Me & Courtney,7ItH4TVm5BhiilRbM3o3vc,Apache,6pil7q9v19qZD6K2Hc57Il,Radical Sabbatical,1gNUYP5HsAwGIKgIwSCwZH,0,https://p.scdn.co/mp3-preview/1a324b8ab7f696fae2966015cc17bf2873975d07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Your Mouth,4C2ve3FrBoiajzVXNjlduI,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,12,https://p.scdn.co/mp3-preview/bbfb227b470f6bb55fd64496c8dfdb2b84b73ffe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
