SEAN'S POP PLAYLIST (STAY OUT!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
66,The Walker,0Nk7bSn0MItonkR0GNs3mj,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,More Than Just A Dream (Deluxe),3IWUFJCM3CvCCQIHQ4vtRK,61,https://p.scdn.co/mp3-preview/abc2b46777cdce1b1f050171cff9a738bce8e7d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Good Feeling,3NcO4jGK1Opb5ea0mYLpxb,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Good Feeling,19JqA8H10co29VVwazL2Gw,60,https://p.scdn.co/mp3-preview/9b7c873ffd4d9893608532492679e0dfca0229f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Mail on Sunday,5j1wrOAOm5KFd17pPiSvle,79,https://p.scdn.co/mp3-preview/dcddd0ebee02d9142b39d092c823f88201547b7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Who Dat Girl (feat. Akon),7z73ehYAn9O1XP9XlCqVtd,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Only One Flo (Part 1),1TwNATuAqnNjTd5BSvFZlS,60,https://p.scdn.co/mp3-preview/fc42af9593e5d6ec01e059e9cd0aa08931b613fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Don't Leave (집에 가지마),7GwmBixa5t9Kzfaz0ZySTu,GD & TOP,3e3oLJehq4vQl2H0FAJnvn,GD & TOP,4wChYOEQc3of8ndXRljMKB,42,https://p.scdn.co/mp3-preview/cdb77d26888a64be01500e001d88e6f9251cf256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Cool,1oPHQirLVcgj85NWdiyuJD,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,Love Angel Music Baby,1HduTydfaUY3idi2YgT3mb,58,not available
72,4 In The Morning,7dSP4GYH9iKjIW6YlGMiKA,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,The Sweet Escape,1U7TcnTuWJ2SftsnHvaBjt,22,not available
73,I Love It,0ZeuGQgiAiJWt4XPoXsiqj,Icona Pop,1VBflYyxBhnDc9uVib98rw,"NOW That's What I Call Music, Vol. 47",6tWvAbEiEelnSPUhkkxZtR,0,not available
74,Replay,5vlEg2fT4cFWAqU5QptIpQ,Iyaz,5tKXB9uuebKE34yowVaU3C,Replay,698AdfGuOthKXXvvHla9bf,73,https://p.scdn.co/mp3-preview/409a5fc7b41354e36172a0c0197f9d3298d31141?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Solo,3fV2ZnSsxgvXUHshkGCBdR,Iyaz,5tKXB9uuebKE34yowVaU3C,Solo,0RdXwXGJPhE3SudBjgykVd,55,https://p.scdn.co/mp3-preview/d69963b6255094b753c9efb3a33d8c1694c7d2cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Where the Party At (feat. Nelly),5mNV8Mz59bzyuQ53gTw0c0,Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp,Jagged Little Thrill,2LFRjzwf61Y7CIl54Kiq8j,69,https://p.scdn.co/mp3-preview/52ac255bd90c58f9581f62c3a3f68e2a670d1ada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Virtual Insanity - Remastered,47W6YR93MPCGLEUReLMyDm,Jamiroquai,6J7biCazzYhU3gM9j1wfid,High Times: Singles 1992-2006 (Remastered),6bxhCuuhyD3zQOGZwrBduo,70,https://p.scdn.co/mp3-preview/b20b4316312f624189462e6e5b98278e068a5486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Canned Heat,0RWqE2ZaulvnN1i40qIhDh,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Synkronized,3JB06rUbAbdK0QEyDM0YKI,64,https://p.scdn.co/mp3-preview/4f58fdce684783a273f2afa4b1381beb5a31bc40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Whatcha Say,2zJZwWF7BTGIIvrAlgzJEx,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo (Deluxe Audio),773TVtjVxXvD6DFHsWFJGN,63,https://p.scdn.co/mp3-preview/9c0288e332c151689bf465a3f8b52a6c9d056e3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,In My Head,0TyOpxlWwDx98bjkIVHUgY,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo (Deluxe Audio),773TVtjVxXvD6DFHsWFJGN,59,https://p.scdn.co/mp3-preview/446c66f2946007c502342d167284f6e3a02c7705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Talk Dirty (feat. 2 Chainz),6nCdW7lwO9AlPOepk689AF,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Tattoos EP,7p1zzVGLSTHcUddCtgQKL9,26,https://p.scdn.co/mp3-preview/222364acc54017734b3e55a124e41106849e76f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Want to Want Me,0HFx7PLqzGxSfN59j3UHmR,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Want to Want Me,1SFUdxOO5cvoDlKFqplE3U,50,https://p.scdn.co/mp3-preview/d0727e5bbaef36980bc20f5c5cccf3c757af7bb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Down,7LP4Es66zdY7CyjepqmvAg,Jay Sean,4pADjHPWyrlAF0FA7joK2H,All Or Nothing,3v0AeWgJPrdPPZGt1tS2s0,76,not available
84,Do You Remember,7yws3pF3FFguwT2Psi6c15,Jay Sean,4pADjHPWyrlAF0FA7joK2H,All Or Nothing,3v0AeWgJPrdPPZGt1tS2s0,67,not available
85,On The Floor - Radio Edit,0Oe49j06Bjrxs8PltuVeaW,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,On The Floor,543NK5YT3RjGmP7nFzWJPm,73,not available
86,Down On Me,5ZxCk43qwHrzVUahCyRLEm,Jeremih,3KV3p5EY4AvKxOlhGHORLg,All About You (Deluxe Edition),2rpzZr2Z3NvzYpcD1y34pb,45,not available
87,Birthday Sex - Up-Tempo (Bonus Track),7algUkMb8hc8M6LUe7FQFK,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Jeremih,5pjw8w5tKfWgrKqsaaGBKx,34,not available
88,Tipsy - Radio Mix,2lVDc57IMK6nypg2iuEWVR,J-Kwon,1Zz5UxfKSSqc6hpa3xJPCw,Tipsy,5Woeg9DhPiMTP0MwKRqT0t,65,https://p.scdn.co/mp3-preview/567c97a8094481bcf5d94e80ba9f1b974502f8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Move Your Feet,3ERSsfJr5VWOdzB4oDoTNJ,Junior Senior,7xNPROyVfkH4mcIxxCxySm,d-d-don't don't stop the beat (Edited Version U.S. Version),2sQIghOdIMQZGWfoim5NCv,15,https://p.scdn.co/mp3-preview/c0c958cec9f9ef7cc685eb5645a971fc0d84c7e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Dangerous,4NOZ35Dhucr6UlVyLOtktd,Kardinal Offishall,5P2rwRBgIN450RaJxdjYdA,Not 4 Sale,4mvT7q9PuuBWZcVyUnZP8e,65,not available
91,Teenage Dream,55qBw1900pZKfXJ6Q9A2Lc,Katy Perry,6jJ0s89eD6GaHleKKya26X,Katy Perry - Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz,70,not available
92,Knock You Down,58FUwmyGUqkt53YPUcm7cJ,Keri Hilson,63wjoROpeh5f11Qm93UiJ1,In A Perfect World...,4FdIO8yB9bNtcWlRcStXvZ,67,not available
93,Kiss N Tell,7d4qcjCUwqwAkPyHqaISfo,Kesha,6LqNN22kT3074XbTVUrhzX,Animal + Cannibal (Deluxe Edition),4HD4hyCi2n5gc5yyRVnirU,0,not available
94,Die Young,6mnjcTmK8TewHfyOp3fC9C,Kesha,6LqNN22kT3074XbTVUrhzX,Warrior (Deluxe Version),0gT5HL6RnvHBxJ2gY7lidR,16,not available
95,Let It Rock,6TrNRd98WksT9Kkmx9uj6R,Kevin Rudolf,0Chxmm4XMM87mJOHvyiUzL,In The City,5bHhH3k4p4ugORIb3q9BHd,66,not available
96,Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Fever,4WzTXHp8bVKkKNu3UQ2Fqu,71,https://p.scdn.co/mp3-preview/8698fb43a16503ad290e738649a19d1663b9cbc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Need You Now,11EX5yhxr9Ihl3IN1asrfK,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,Need You Now,3hnGcNi8oqGdwTm3CeniFA,68,not available
98,Jewels N' Drugs,5bltTpT0HIaEQzlGvxabWy,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,ARTPOP,705K6lFN9wm3bifelyuQS4,0,not available
99,Just Dance,6HkjpGIOHv4y0IBAxUbE5z,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame,2FBA8NCSuQNi8jaR2Xjbal,67,not available
100,Poker Face,0WfKDYeUAoLA3vdvLKKWMW,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame,2FBA8NCSuQNi8jaR2Xjbal,69,not available
