25 Years of Summer Jam Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
72,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,81,https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Tipsy - Club Mix,0jSMveIWvnhDIvzqN74Uc7,J-Kwon,1Zz5UxfKSSqc6hpa3xJPCw,Hood Hop,4yTlfDLsW1dK2kG1qoNsrv,62,https://p.scdn.co/mp3-preview/faa9d6619886b1de3c48a016edab3c71b2cf4455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Freek-A-Leek,4MeDnO5yA2Zi6IMlVApRci,Petey Pablo,4Js9eYwAf9rypNtV8pNSw9,Still Writing In My Diary: 2nd Entry,2R7G5Z0RWWZU1V731JZG68,66,https://p.scdn.co/mp3-preview/fbdf8a5d728f3b93c64dd29bd962ddca6c2ff6f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,All Falls Down,2cYZpcIV39X48RnOFM7w2V,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The College Dropout,3ff2p3LnR6V7m6BinwhNaQ,14,not available
76,In Da Club,4RY96Asd9IefaL3X4LOLZ8,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin',4ycNE7y1rp5215g1kkqk1P,72,not available
77,P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin',4ycNE7y1rp5215g1kkqk1P,67,not available
78,Right Thurr,0l3GEbH3CviUytD6iX4wzg,Chingy,3s2wTjWxK8NOX09dmsvVOh,Jackpot,0Hv5X7RRaM7F3hfAq0YmzB,69,not available
79,No Letting Go,5dWfl2PBpKHpBVdz95wxK1,Wayne Wonder,3kc5AFnL1TQQdNaMdSW2UO,No Holding Back,3WH8Q7LS2p143e5PrKGLeA,63,https://p.scdn.co/mp3-preview/6dbbbdd3ef30c2292246d582ec64c41060ffab26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Hot In Herre,04KTF78FFg8sOHC1BADqbY,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,4HUUHHXBXImwksfbSPqE7q,73,not available
81,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Lose Yourself,77Ft1RJngppZlq59B6uP0z,Eminem,7dGJo4pcD2V6oG8kP0tJRR,SHADYXV,6wdSf72duVewXTqhYU3Z87,55,not available
83,Oh Boy,4gdQ8QShlC3toP9Mkc8DwB,Cam’ron,7iMvwE8qANp3aIfAGKEAwS,Come Home With Me,4wn9wcP2D71SyiB7KbVKMy,66,not available
84,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Justified,6QPkyl04rXwTGlGlcYaRoW,76,https://p.scdn.co/mp3-preview/0e2f07ca487e1f5020547ee64f95662fca2a75ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,No More Drama,5QJmKwPveBV4IwLlo4OcG4,72,not available
86,Hit 'Em up Style (Oops!),3flAV51ACbtIcEixb0QeZv,Blu Cantrell,6vytZ677lz4LzCrUDcDokM,Bittersweet,3UviDOQkc4WbXkNi6DIBZu,51,https://p.scdn.co/mp3-preview/b45731b31c5ad4490f954e42954f593d3ed4bb54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Peaches and Cream,2SLZ2rX5773RS16mcqBxG7,112,7urq0VfqxEYEEiZUkebXT4,Part III,6QlbqTqKJt1UnuH3PLz9mb,68,https://p.scdn.co/mp3-preview/24735540544ed7b6a00866a330177b444cbb43bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,2wIVse2owClT7go1WT98tk,Miss E...So Addictive,20t54K6C80QQH7vbcpfJcP,73,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Izzo,2mnQSfxDVIdO74cmMW4gFt,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Le mix du dragon (Double H Merchandising présente Cut Killer),5myl9c9Eu70zUaEWhLrxmm,40,https://p.scdn.co/mp3-preview/a2580680d62dbe1d715da5bbb53172843fca8306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP,6t7956yu5zYf5A829XRiHC,80,not available
91,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Stankonia,2tm3Ht61kqqRZtIYsBjxEj,78,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Stankonia,2tm3Ht61kqqRZtIYsBjxEj,67,https://p.scdn.co/mp3-preview/ab0909f2f07868b156e175a0686548c270b1ee31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Hip Hop,2HoDr1yVksl19omOhc1zWy,Dead Prez,2UBt0GWBuPVXlPisRvWzlD,Let's Get Free,7gXuElmegVReY7imkb5bf8,64,https://p.scdn.co/mp3-preview/b244164a80491621350d4fd822ae3e55d57d2c78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,It Wasn't Me,0OaunKfsxkgBvPv68jBbmm,Shaggy,5EvFsr3kj42KNv97ZEnqij,The Boombastic Collection - Best of Shaggy,04bMI1jl7CB82LkdeHXyEo,71,not available
95,My Name Is,75IN3CtuZwTHTnZvYM4qnJ,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Slim Shady LP,0vE6mttRTBXRe9rKghyr1l,73,not available
96,No Scrubs,1KGi9sZVMeszgZOWivFpxs,TLC,0TImkz4nPqjegtVSMZnMRq,Fanmail,1CvjjpvqVMoyprsf74bpYW,81,https://p.scdn.co/mp3-preview/69daa711bddd8fe7aa9acf17106ca85cf1ccfa14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Hot Boyz,7mYvtEeBdMqRSyj1Qpv6my,Missy Elliott,2wIVse2owClT7go1WT98tk,Da Real World,47QQsqlgvkxme4jrh5QQ4i,57,https://p.scdn.co/mp3-preview/dee465c0f48a41725473cac6843462e57469122d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Quiet Storm,6nwAubYnLGl7F7cDuOoVLp,Mobb Deep,6O2zJ0tId7g07yzHtX0yap,Murda Muzik,25NNQGZBd9oLAO1xTeq5oQ,64,https://p.scdn.co/mp3-preview/c08275b8a0a4007ba25abcffa67e6532852498ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Still D.R.E.,503OTo2dSqe7qk76rgsbep,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,2001,7q2B4M5EiBkqrlsNW8lB7N,76,not available
100,Been Around the World (feat. The Notorious B.I.G. & Mase),1siDRjAa8MdxNoCHTiiQ7B,Diddy,59wfkuBoNyhDMQGCljbUbA,No Way Out,4OGaOZUHLhSeiicZB909aL,61,https://p.scdn.co/mp3-preview/8803f9fcdf16dd5c4eb8bfe071c78848dba30e8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
