Feel Good Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
64,New Shoes,265Anh9hGoozFigjUVLUeD,Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp,These Streets,6L2FiSnFMisCgbhbag4KTl,67,https://p.scdn.co/mp3-preview/d49eccb4b21bcf4906633f52d2f1f30304183565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Let's Go Round Again,1jyFhPbKXwWAFEyg4X2ymb,Average White Band,3tx8fyu3c4OBP5nejYtUOb,Shine,6Pz1wCtgtwm7akQZC8ssA3,57,https://p.scdn.co/mp3-preview/3f364879f7bf0f6b2adf6737ba7484906ebee461?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Black & Gold - Radio Edit,3QI96xFA7pHph2AwHu3rYT,Sam Sparro,0H0rBbf7vHXO3qh50Wap7y,Black & Gold (International),5k9GJrQA094vSrj34Larkq,8,not available
67,Bring It All Back,3v0uXfyMEZ1lGvBOv1Y4ar,S Club 7,1kM5rgJvkiDMOoKX56H6pX,S Club,6Aw5MrjWmWcjECqpsp1Fz5,65,not available
68,Gucci Rock N Rolla (feat. Rivers Cuomo & KYLE),2VBYFWgwIlJjyzidPTHQqp,Snakehips,2FwJwEswyIUAljqgjNSHgP,Gucci Rock N Rolla (feat. Rivers Cuomo & KYLE),6PRuFI0MKWIhPvjzSFtUjy,61,https://p.scdn.co/mp3-preview/d6100b033f8456ef709e6417c167c9e809dc40ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Woman Like Me (feat. Nicki Minaj),222B3aljXx6fFwKmFjuBED,Little Mix,3e7awlrlDSwF3iM0WBjGMp,LM5 (Deluxe),7Ho8gAx4haSxv1eFLQwvTj,78,https://p.scdn.co/mp3-preview/b65cc2e0e29667af5c0d379f9ce5b65ad95372ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,All About Tonight,1Fx9aiORwv0cx5mFEBasHo,Pixie Lott,3EBRANWwnViQuBrImN61Z1,Young Foolish Happy (Deluxe Edition),1suhybVPY2Yfm71xoDgW6X,58,not available
71,I'm Coming Out,0ew27xRdxSexrWbODuLfeE,Diana Ross,3MdG05syQeRYPPcClLaUGl,Diana,0Gy4phN6Xwx4uyskE7Wkls,68,not available
72,Don't Stop Movin',2mc3KhEpFAh8saVFVNb1hC,S Club 7,1kM5rgJvkiDMOoKX56H6pX,Sunshine,1JXF1JKw7WPhqvBO8t8oPl,12,not available
73,Body,2fCUI41zhGk9isZnOMfxSP,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,4SMZp8XZngy7Iqx7iiN3v1,69,not available
74,"December, 1963 (Oh What a Night!)",1hQFF33xi8ruavZNyovtUN,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,Who Loves You,7fbHVufa1ZvEWWpDppEXHU,63,https://p.scdn.co/mp3-preview/ea6858bb2274607555a5ace23e37d076b9fb4f91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,C'est La Vie,0P6CPJrNJ1Zt755CQTWg3S,B*Witched,72eP0W3rIhkxd0NHGg4w4u,C'est la Vie: The Collection,1zrWYaf1JGvFpRLfp8nDyn,57,https://p.scdn.co/mp3-preview/0dbf5c6253b4a3c5dc61a0d7e27bf06a810b36fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
