Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
69,July,5a6pdCHlWS2ekOOQ70QnAr,Noah Cyrus,55fhWPvDiMpLnE4ZzNXZyW,July,2YQptVBjUJeIOBavD1AyXg,79,https://p.scdn.co/mp3-preview/b772266fa0e6a75c3d73a816f86098c0a96de110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Easy Tiger,2IbzYGcve6P1QV94UFxtik,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Easy Tiger,21rJkp3ysXGOSL7320EFTL,62,not available
71,Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Must Have Been The Wind,0A5GgdYeE7UJDnBeXuZWma,76,https://p.scdn.co/mp3-preview/68b70525da23fd56860cf53bd7c4d8429e56f4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,The One I Love,4CTkHewevcDjIT3j9qb36e,Ellen Krauss,1hY6WSJRQy3FPTnmprOBVh,The One I Love,6Pf7ZUDD3Oup6DQOEhrBol,62,https://p.scdn.co/mp3-preview/ed3ce3f5378df87b98313c7737055287acefb31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Let Me Hold You,1KPOljIkYzuv98nBPNN8DB,Nick Wilson,09Z3wZ88af1pfyJxziESQF,Let Me Hold You,7DVLUz7sUgLhg8doKLDZwM,48,https://p.scdn.co/mp3-preview/b93e6d687e758a030d97ba02a36623ba49fbc690?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Bloodstream,1UgUpku6JtGVBerwDVurHr,Conor Byrne,0hEeBhTVYUKs2B4PY2IdMB,Bloodstream,25F5v8WWVCCSL7II7HXZJu,55,https://p.scdn.co/mp3-preview/39cfa464d834f4e61c4e506faf10b906391281fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Don't Give In,62aWvmFONlusEPthH5CmA2,Joesef,28EyduqESEOVMO6vglvaUZ,Don't Give In,4nkVzPcDX2u2X9NDM2bTck,52,https://p.scdn.co/mp3-preview/e831bef904cc8d48b46ef73f556d52a512584e89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Costa Rica,1nGzAN60NOyg9pPW53mEHJ,Dan Owen,3wrdNgjTSLLQZ382sPyoA5,Costa Rica,23f1lfbTWlh9YcU7tuttH1,39,https://p.scdn.co/mp3-preview/1bb129c48df77863f8ce3acb0cbeb8712eb7ad16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Rest,0OqQeDeKfGzT7nFLImwRMv,Minke,4fTWIwXX49PpfrhxBHfkkw,Rest,6rOX8aMGvVZfOpCDjKuzTf,38,https://p.scdn.co/mp3-preview/67f2c29ad7273700b544ead88a27bd9e61237e59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Helios,7GoorEWShjONZUmCKQbq5H,I See Rivers,50y0b4AuxvWpH2jlNqGMmg,Helios,09RIbV6S3HOn3OGmwc0DDv,43,https://p.scdn.co/mp3-preview/3e9e7bd4262c61c9a8d0e9047beae093ae1b03e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Why Wait,1kCUN3mBLqbO40sen5Rv62,Lilla Vargen,1bYTiIHnxEdBncCHYCfE4j,Why Wait,2ez2etBeYOOZprawEFPl30,25,https://p.scdn.co/mp3-preview/d3482c15cf0dfce0c4cbf820a28c3d76d21b42bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,You Say,6Up545NUflOiXo8cEraH49,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,6pmoTLfsPpn0wisT3YFJSN,82,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
