Merge 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Broad Daylight,4N77wys9Mz0Eo97W00PEGT,Allison Crutchfield,1zIiCQLbCV0la5eLdT0FIj,Tourist in This Town,4F72gIqyJvqYkxDd1iIQG1,11,https://p.scdn.co/mp3-preview/4ce8afbb2fae5b64220934f6932d86e686e99794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Expatriate,1YH7DdDW5Ek4y6Z2BNSrXG,Allison Crutchfield,1zIiCQLbCV0la5eLdT0FIj,Tourist in This Town,4F72gIqyJvqYkxDd1iIQG1,11,https://p.scdn.co/mp3-preview/c926dd727ac795d42b81baaf84830ce0bad313a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Mile Away,4aLmpyxZDltum58U9AKC2B,Allison Crutchfield,1zIiCQLbCV0la5eLdT0FIj,Tourist in This Town,4F72gIqyJvqYkxDd1iIQG1,9,https://p.scdn.co/mp3-preview/8ab0de64a2eb2c9f7418442d4dbca560abbf78b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Where Evening's Dream Goes,06E60OeWtSvtTXuINJkyj6,The Music Tapes,0Xjtselvq13TzhtPlo7g0r,The Orbiting Human Circus,5iw9ZG6VPi2hgwihWDxfAZ,17,https://p.scdn.co/mp3-preview/1e153de75e62fce7535c3365c97105486b1c6557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,City of Lights,4FCqXfOpMelKLOXt96eTle,The Music Tapes,0Xjtselvq13TzhtPlo7g0r,The Orbiting Human Circus,5iw9ZG6VPi2hgwihWDxfAZ,32,https://p.scdn.co/mp3-preview/96b884c88d98b79b794b2c539076e473593ffb65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I've Got My Love,6Y08Yv9N8jGNfGM7MKrVpc,The Music Tapes,0Xjtselvq13TzhtPlo7g0r,The Orbiting Human Circus,5iw9ZG6VPi2hgwihWDxfAZ,17,https://p.scdn.co/mp3-preview/c2d794e4a54ba5d73366614ea9fe61c4f0007bc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,When You Said Goodbye,0N5NrQJQQRXo0YW6ZlBXrF,Coco Hames,0jOzDGdyJtAt5bYX7xpWYV,When You Said Goodbye,66CxvoGiZK6Oax2ZRgPRG4,1,https://p.scdn.co/mp3-preview/66814e399c52252d7880de231c241d9bdeb0d095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Andrew Eldritch Is Moving Back to Leeds,098PgApK9llaanxaDvAeij,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Andrew Eldritch Is Moving Back to Leeds,1RXzCoI07964IVAsiaWnWZ,16,https://p.scdn.co/mp3-preview/a0da948aaed7bde371cf730f4618eba2680c4c79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hair Slick Back,5WutUDkAZMuRN98I7PYaKK,Sneaks,40iUcsx6LWJ0DEPryPmU30,Hair Slick Back,2sm84RXbtMEMQirzlVqHZY,13,https://p.scdn.co/mp3-preview/e5bc9561e83811c9d609f393127a6a1780b8ee6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Chant (Iquo Isang),2w77m9LicWIJG6L2uYby14,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Uyai,411nqjElDYZFaezcfWrDS3,28,https://p.scdn.co/mp3-preview/909fdf14a10ff10482dd8e8cf7a812a99cd8d642?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sunray (Eyio),7IT4glwKSRXAfdsubqtVvw,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Uyai,411nqjElDYZFaezcfWrDS3,14,https://p.scdn.co/mp3-preview/7b6d400d8bd9041cc9ce1f3ee67b57c75b9db7c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
