Sub Pop Celebrating Womxn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
37,Modern Girl,2TV1CEAFvQiiLhqxUOCQnC,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Woods,0U6Z6EVDwVMqwmr2zEcH4L,2,not available
38,Nice To Come Home,4PLEGcLrVHI0VnxcUpbG9X,Julie Doiron,1sjeOeIPG7quxVgmNspYyT,Heavy Snow & Nice to Come Home / Sweetest May & Monumental,68A4rrYi7zjMskSQoyEM4f,6,https://p.scdn.co/mp3-preview/978e006606e02f4ca1a3dbf5f128fbf17e858551?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,How Many,6WJ9v596PPiHl27kXjqdqg,Tender Forever,5WF5qT6fSfyd3RC2p8qpEX,Wider,0Y5Pw0dcT4HyTJJ2OTNx6f,6,https://p.scdn.co/mp3-preview/68d6247cf585dadcb6de67d6bf0e76635e18322e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Galaxies,2LpaXBngGhh4xbDD18lOxS,Laura Veirs,0jkK3K1ATFFHofEWjd2i00,Year of Meteors (bonus version),44ylMXOuL1RTKsP3kqWHmw,0,not available
41,I Hope You Like Me Too,3tx60M0Bvhzlk2y4bqoZew,The Maybellines,1JvhzOsfMYwQHRB9cSYaBu,The Maybellines,43KuGKCsf99Oq5G8WtJEOA,1,https://p.scdn.co/mp3-preview/c6b7d0a9625891c0c9f1d3d2a597b77141b087b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Oh Katrina,5E53CL9cOoB2edqOlP3LiT,Tender Trap,1z4szUAHFHDUIqRY1A2AF4,Film Molecules,6SvHvMz2Qkih5y8pxXqXYe,12,https://p.scdn.co/mp3-preview/97eb6371710aa6f26206566962c312892def95db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Until The World Stops Spinning,4wLIWnjZbGFbmpSe85Xnxy,Saturday Looks Good To Me,4C6aTpsTzZASFFVwa7uhfL,Every Night,0yx3ApfNHYltXI4HOh7Kap,6,https://p.scdn.co/mp3-preview/99fbe8ca6c438d61565472b4d99bd2a290ced587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,My Best Friend,1KHyqAqDBFgstEqBRT2cDe,Talulah Gosh,3twRxnjZrSKByPGQErO6V8,Backwash,2ueoAKPeDZ77tfddhJ2taP,13,https://p.scdn.co/mp3-preview/e7026ac228c4f26328a3313421aea538240ac301?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,My Chinchilla,4iA8JrFwey2V0A1cZRhZAd,Cub,2wPm6Ouj7DpVS4g09fEoOT,Betti Cola,2ux1MBf4NwoqSSYPlFxFQe,19,https://p.scdn.co/mp3-preview/2147b55f91ca2748237684f63d9176dff7458dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Artificial Light,49GZ8otSl2kHXT7Bc1Q6s0,Rainer Maria,5OUVzPFZebtoZFs85MIQpz,A Better Version Of Me,2LCOg8bduZyIohrWyX3pRf,25,https://p.scdn.co/mp3-preview/7cb526d58deb6d4524d73a484c9848d04ab93861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
