All Out 70s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
74,Kiss You All Over,3FGcQkWQlkeB82RdZwlw8V,Exile,2enKa9Yqr6PZy3xGlxQEu7,Greatest Hits,7orQwVEEjByRj9hT98frwo,59,https://p.scdn.co/mp3-preview/342dc0d1320304e76075e95c931af6cdef1792c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Knockin' On Heaven's Door - Remastered,6HSXNV0b4M4cLJ7ljgVVeh,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Pat Garrett & Billy The Kid [Soundtrack From The Motion Picture) (Remastered],2Pj2kZM5XpyIeyFBTAVulL,74,https://p.scdn.co/mp3-preview/5d590e2139ce4eb119238968a8b398e8510a6251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Do It Again,2BstRQGodshjGpeDGQiNgo,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Can't Buy A Thrill,4Gh6pRaXqXTtJx4plAJbBw,71,not available
77,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,Al Green,3dkbV4qihUeMsqN4vBGg93,Let's Stay Together,58eMx3QrTkiRmGGbSz2XL0,76,https://p.scdn.co/mp3-preview/5374059cb5947b59dfb255bd44bc8f2ad2f481d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Afternoon Delight,3TQOqBFEKUEab8CO1pi5A8,Starland Vocal Band,66QeIFuFJDNCImNHlFzrY1,Starland Vocal Band,7aWilYGhYcZQTpjQgCf6kx,36,not available
79,Son of a Preacher Man,4uCbetXW9LStYPUjCpBVp9,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,This Girl's in Love with You,5TGmpcEuZsVIoxDWnJIan5,65,https://p.scdn.co/mp3-preview/cfe5331a57f9bd5c6424b3b076879e4f2370406d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,My Sharona,1HOMkjp0nHMaTnfAkslCQj,The Knack,0Nn9YwJzcaeuU1jJL06e3r,Get The Knack,6H0wsYDvFlATzXHn0IqVpi,75,not available
81,I Wish,74MfBIVOVHzQiJqfJ1dgTo,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Songs In The Key Of Life,2HVx2tiZnLX8xeaUthed1e,19,not available
82,Mandy,6iXQrhhgBisdfvS34EMTZ3,Barry Manilow,3alW3LYQS8K29z8C8NSLIX,Barry Manilow II,0D6b0oLPjrrV4YA4bRSkks,69,https://p.scdn.co/mp3-preview/500a597451239f9de41cc5b1d8b3305712fdff1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Angie,1GcVa4jFySlun4jLSuMhiq,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Goats Head Soup (Remastered 2009),6iVOz2hudE6dv5Yrcsw2c9,73,not available
84,Your Smiling Face,0z1MCtPlHy0x1g0XojaduR,James Taylor,0vn7UBvSQECKJm2817Yf1P,The Essential James Taylor,69BraN93YbUqOGH1URqGka,54,https://p.scdn.co/mp3-preview/c68fdd392f6f8f0486652d6b7a8d54d827f48ba5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,Looking Glass,5jJN1nmKXzRjodMl1THQeI,Looking Glass,5ThwnbpYrk9R1xXkAGCLIs,74,https://p.scdn.co/mp3-preview/889895ad3fdbc3a9ba436aa04966af32c33a7c85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
