All Songs Considered,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
67,Daylight Matters,2yyx1lAXx9AR5i7Z89NLjz,Cate le Bon,0LZac5VicY19QLaIUvIB0G,Daylight Matters,0rsxRDKKAurH98D6Zsr0Z8,29,https://p.scdn.co/mp3-preview/0601b750ca050dcfcc80756cf9b04d99654e6c16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,The Day I Drove the Car Around the Block,6x6RvYqS14uGEmiOtenM5n,Indigo Sparke,3KlPjpVKfm6vESPL46NDCh,The Day I Drove the Car Around the Block,4bZo54HJmMS2s0UXj7frHs,25,https://p.scdn.co/mp3-preview/3c9c711e905e42c3a3a402b741a12d8a82bf2e65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Clutching The Blade,662fr34Y0xnE7iWMlkNiFd,Rev Rev Rev,0osv6JQzCfTjwPAOKZlSBP,Clutching The Blade,1cde6M7qaHdIXyDv9j0E2T,13,https://p.scdn.co/mp3-preview/4eeba75cce0c6acd36871a13a51ef29845be2efa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Animal,1LzxaDoo5PQ5AmRd4pdpl0,Chkbns,5XQr6qpU29tX2fx3DZuNcj,Animal,6KTEBBCxf3UMryMCzLrMlB,12,https://p.scdn.co/mp3-preview/79a723b8f304ba464ab8e1586f1b5b9b12c6140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Infancia,2h73mMF1mEGYXQ24lyx54O,Silvina Moreno,2wMN1UAgISJA8yQusQL18G,Sofá,3qMq7yv06IdD14Q4MkxJD4,26,https://p.scdn.co/mp3-preview/ac6a57d4b33fdc59086ed8c8f261b5ee041613f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,w.o.t.h,2wrk1QM72i5hPOEzU6nGMk,Tamino,3IWdvItNhmdo282Wwp0CwH,Amir,5znkKeZluet6ArfR5RplEy,40,not available
73,Longola Ye Kepe,4CYzK4RzKdPmI2n7cA91lU,KOKOKO!,4hkOCqpKuf6KFaQeTGfYNw,Liboso,0POHp3DpFqClA3oznma99d,13,https://p.scdn.co/mp3-preview/dba8a9675a7424bfb0e41c9259b004ee7a6eff15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Basta,6l3pz9GBHymSiKswa4rPBE,Cimafunk,28wtFivtmdKxFRfu57AhBe,Terapia,3OgoFDgcFpncuzMonAjLQD,30,https://p.scdn.co/mp3-preview/1e860fb4ec35667e38fa163109e06c2ea6c872b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Money,7wfQfnNFGWLD0BzcDngCRg,Leikeli47,0DtXHIvJ8NWBg5pGvsgWnR,Wash & Set,1VAZdFNZ1t5BYugJ3NfaZh,62,https://p.scdn.co/mp3-preview/2e3a9d02621b19c281e96b0e81a83f10a55a793a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,In g# (Katze läuft über Klavier),2143VchIsKPES5vY5DCt0v,Moritz Simon Geist,1orB71r9MbyZF7JhDHBS0e,Robotic Electronic Music,1rH3TCUAXPyVmnOhmBbgdK,10,https://p.scdn.co/mp3-preview/09ce38c975e6fbf5129a159b854ad0b46fdef850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Swimming Backwards,6gdXKvWTGKYDOsC1Rj3Q3d,There,1acar6LWnyqmDdmHabW68Y,Swimming Backwards,6eiGLXIkQHtUO7EdFFAywc,34,https://p.scdn.co/mp3-preview/98cfec65c91bbd99c45beae1791ef927cee19f12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Killer,7lBomhbokyc2RTqVRxHsd1,Palehound,4AgusFXPk24LCGMMplX34M,Killer,6KDStOakjzBDdC6woxYlm5,25,https://p.scdn.co/mp3-preview/80a74fe60d75cf15a416948645c06cffca196276?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Something Blue,6VX947ely2dVtJ7prhd2RY,Ellis,7EQmY1hAAeuJLa0GUNpKNN,Something Blue,1ui7DrCpzscoqqhF0WG4x1,18,https://p.scdn.co/mp3-preview/d655c4b416e43eb34f1f9a20784c230f4a2f1477?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Human,3u5pojXEtWHfyhYvsfPlQA,Molly Sarlé,4XLoKwIIoARkhaKuZocq5d,Human,5FCqUoBsacMAq3RDwLN9dF,42,https://p.scdn.co/mp3-preview/d3c62304a155b811ed8ba8d289e654063a2dbe0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Soft Shape,2rBKn4KgK05n6AJmHVkd6z,Empath,4fysVnJR2KeuQ5VyiTFltS,Soft Shape,3KVzFFHpEKHpc2grSOlHe3,1,not available
82,Neon Me Out,6EAIcPAaK7bVzquUgNsl1Z,Sego,0GtuGhnsCPahfLCAFg27gj,Neon Me Out,1jtQ02kPtWRnAhvJcMnPwA,0,not available
83,Cotton Skies,6XOgBpYDzuBMnwFTCPvMee,Westkust,6YXQAg2YzoPVppbDK7elYj,Westkust,7EfxPAoxEmJzIxDro3oE4A,23,https://p.scdn.co/mp3-preview/689a2b51c051e34d4dc819caec2786c4f99d712d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,The Barrel,3s71tbgmSN9TfJLj4D18Mt,Aldous Harding,3lmR0qMiGuoIF9UC54egcG,The Barrel,6GO0ZV4w1GHfksdyBiEAY0,55,https://p.scdn.co/mp3-preview/f5a0ef23627cb9870971c82b30a539acaa97036e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Outside,7Cx3kiPstZOSKAqTe3LtEi,MorMor,63vaeIIBKIe9zT91EORVbr,Outside,7Dedy1SsrEQ2ofQUw7eGNC,55,https://p.scdn.co/mp3-preview/1284f617cdff253a199eb2273dc1e023fb20c452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,African Starship,0tNV4xGGmfa0mtg5jtvdoJ,"Lee ""Scratch"" Perry",1TsG4AumsMt1Tcq2nHpov9,Pay It All Back Vol.7,6sU4pvjxmTeO1bNlNlyF5S,11,https://p.scdn.co/mp3-preview/c5c501dc3baa00284ff302bd690edc11d033ff46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Penny Rabbit and Summer Bear,2GbT7ZJzCLLN6VwkA8YRxz,Kishi Bashi,3LVPGE5jPPwtbGslx07YR0,Omoiyari,1oPXOnszADv8Xe3fzykSdC,47,https://p.scdn.co/mp3-preview/8d48f1826e1e96d02094c75d412ee1353b17969c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Walk Through Fire,1Z2T4ettj3iYZFVaWw3m3R,Yola,2gqMBdyddvN82dzZt4ZF14,Walk Through Fire,3YkPGNQ0ATRPcigTb74F5A,40,https://p.scdn.co/mp3-preview/eab24b8d2bcdc8955a64899e88315aeb3af753f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
